"date"	"Qmm"	"P"	"T"	"E"
1989-04-01	1.225	0	9.8610736	2.41
1989-04-02	1.225	0	7.0194594	1.37
1989-04-03	1.171	0	7.12704975	2.28
1989-04-04	1.153	0	8.08692715	1.87
1989-04-05	1.147	0	9.93642395	2.38
1989-04-06	1.141	0	10.6093789	2.29
1989-04-07	1.141	0	11.20151355	2.45
1989-04-08	1.141	0.21	9.6179842	1.89
1989-04-09	1.183	0	6.8430357	1.3
1989-04-10	1.063	0	9.0833311	2.38
1989-04-11	1.033	0	9.50619795	1.98
1989-04-12	0.991	0	8.6738229	1.96
1989-04-13	0.985	0	10.28500475	2.29
1989-04-14	1.009	0	10.6876688	2.21
1989-04-15	1.009	0	8.0987197	1.58
1989-04-16	1.015	0	8.41731315	1.88
1989-04-17	0.991	0	11.2685339	2.23
1989-04-18	1.033	0	12.0746081	2.16
1989-04-19	1.075	0	14.0760221	2.42
1989-04-20	1.141	0	11.6198134	1.93
1989-04-21	1.123	0	11.93313655	2.12
1989-04-22	1.129	0	10.7418565	1.87
1989-04-23	1.063	0	9.4131144	1.74
1989-04-24	1.027	0	7.8310945	1.55
1989-04-25	0.979	0	9.57769515	2
1989-04-26	0.979	0	12.46970515	2.17
1989-04-27	1.003	1.81	7.5343632	1.25
1989-04-28	1.039	13.83	3.1577749	0.8
1989-04-29	1.039	16.68	0.871595665	0.63
1989-04-30	1.009	0	2.3721125	1.11
1989-05-01	0.979	0	0.0947086499999998	1.04
1989-05-02	0.931	10.8	2.4168223725	0.85
1989-05-03	1.135	29.92	0.52458836	0.57
1989-05-04	1.225	0.06	-0.69612965	0.75
1989-05-05	1.123	0	1.4976372	1.26
1989-05-06	1.165	0	4.512631425	1.38
1989-05-07	1.177	0	5.666447255	1.48
1989-05-08	1.141	0	4.880482805	1.26
1989-05-09	1.105	0	5.98242565	1.33
1989-05-10	1.081	0	7.41326465	1.4
1989-05-11	1.039	0	6.66421995	1.15
1989-05-12	0.979	0	5.68165	0.88
1989-05-13	0.937	26.77	4.36726485	0.86
1989-05-14	0.973	10.79	0.66674685	0.65
1989-05-15	0.967	0	1.8857144	1.21
1989-05-16	0.985	0	7.41138765	1.39
1989-05-17	0.979	0	6.34300505	1.26
1989-05-18	0.949	0	7.77121495	1.44
1989-05-19	0.949	0	7.9037893	1.37
1989-05-20	0.913	0	7.59560345	1.25
1989-05-21	0.901	0	8.0568878	1.2
